"Tabela 3553 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência com rendimento de trabalho e Valor do rendimento nominal médio mensal e mediano mensal de todos os trabalhos, das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, com rendimento de trabalho, segundo a situação do domicílio, o sexo, a cor ou raça, o nível de instrução, a condição de contribuição para instituto de previdência oficial em qualquer trabalho e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência e com rendimento de trabalho (Pessoas)"
"Cód.";"Brasil e Município";"Nível de instrução";"Condição de contribuição para instituto de previdência oficial em qualquer trabalho";"Grupo de idade";"Ano x Situação do domicílio x Sexo x Cor ou raça"
"Cód.";"Brasil e Município";"Nível de instrução";"Condição de contribuição para instituto de previdência oficial em qualquer trabalho";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Nível de instrução";"Condição de contribuição para instituto de previdência oficial em qualquer trabalho";"Grupo de idade";"Total"
"Cód.";"Brasil e Município";"Nível de instrução";"Condição de contribuição para instituto de previdência oficial em qualquer trabalho";"Grupo de idade";"Total"
"Cód.";"Brasil e Município";"Nível de instrução";"Condição de contribuição para instituto de previdência oficial em qualquer trabalho";"Grupo de idade";"Total"
"1";"Brasil";"Total";"Total";"Total";"80658004"
"1";"Brasil";"Total";"Contribuintes";"Total";"52194262"
"1";"Brasil";"Total";"Não contribuintes";"Total";"28463742"
"3500105";"Adamantina (SP)";"Total";"Total";"Total";"16317"
"3500105";"Adamantina (SP)";"Total";"Contribuintes";"Total";"12474"
"3500105";"Adamantina (SP)";"Total";"Não contribuintes";"Total";"3844"
"3500204";"Adolfo (SP)";"Total";"Total";"Total";"1629"
"3500204";"Adolfo (SP)";"Total";"Contribuintes";"Total";"1208"
"3500204";"Adolfo (SP)";"Total";"Não contribuintes";"Total";"420"
"3500303";"Aguaí (SP)";"Total";"Total";"Total";"14530"
"3500303";"Aguaí (SP)";"Total";"Contribuintes";"Total";"10198"
"3500303";"Aguaí (SP)";"Total";"Não contribuintes";"Total";"4332"
"3500402";"Águas da Prata (SP)";"Total";"Total";"Total";"3653"
"3500402";"Águas da Prata (SP)";"Total";"Contribuintes";"Total";"2351"
"3500402";"Águas da Prata (SP)";"Total";"Não contribuintes";"Total";"1301"
"3500501";"Águas de Lindóia (SP)";"Total";"Total";"Total";"8513"
"3500501";"Águas de Lindóia (SP)";"Total";"Contribuintes";"Total";"5916"
"3500501";"Águas de Lindóia (SP)";"Total";"Não contribuintes";"Total";"2597"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"Total";"Total";"2557"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"Contribuintes";"Total";"1816"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"Não contribuintes";"Total";"742"
"3500600";"Águas de São Pedro (SP)";"Total";"Total";"Total";"1271"
"3500600";"Águas de São Pedro (SP)";"Total";"Contribuintes";"Total";"894"
"3500600";"Águas de São Pedro (SP)";"Total";"Não contribuintes";"Total";"377"
"3500709";"Agudos (SP)";"Total";"Total";"Total";"16150"
"3500709";"Agudos (SP)";"Total";"Contribuintes";"Total";"12616"
"3500709";"Agudos (SP)";"Total";"Não contribuintes";"Total";"3534"
"3500758";"Alambari (SP)";"Total";"Total";"Total";"2052"
"3500758";"Alambari (SP)";"Total";"Contribuintes";"Total";"1458"
"3500758";"Alambari (SP)";"Total";"Não contribuintes";"Total";"595"
"3500808";"Alfredo Marcondes (SP)";"Total";"Total";"Total";"1620"
"3500808";"Alfredo Marcondes (SP)";"Total";"Contribuintes";"Total";"1154"
"3500808";"Alfredo Marcondes (SP)";"Total";"Não contribuintes";"Total";"467"
"3500907";"Altair (SP)";"Total";"Total";"Total";"1704"
"3500907";"Altair (SP)";"Total";"Contribuintes";"Total";"1340"
"3500907";"Altair (SP)";"Total";"Não contribuintes";"Total";"364"
"3501004";"Altinópolis (SP)";"Total";"Total";"Total";"7763"
"3501004";"Altinópolis (SP)";"Total";"Contribuintes";"Total";"5188"
"3501004";"Altinópolis (SP)";"Total";"Não contribuintes";"Total";"2575"
"3501103";"Alto Alegre (SP)";"Total";"Total";"Total";"1931"
"3501103";"Alto Alegre (SP)";"Total";"Contribuintes";"Total";"1327"
"3501103";"Alto Alegre (SP)";"Total";"Não contribuintes";"Total";"603"
"3501152";"Alumínio (SP)";"Total";"Total";"Total";"6983"
"3501152";"Alumínio (SP)";"Total";"Contribuintes";"Total";"5480"
"3501152";"Alumínio (SP)";"Total";"Não contribuintes";"Total";"1503"
"3501202";"Álvares Florence (SP)";"Total";"Total";"Total";"1685"
"3501202";"Álvares Florence (SP)";"Total";"Contribuintes";"Total";"1087"
"3501202";"Álvares Florence (SP)";"Total";"Não contribuintes";"Total";"598"
"3501301";"Álvares Machado (SP)";"Total";"Total";"Total";"10852"
"3501301";"Álvares Machado (SP)";"Total";"Contribuintes";"Total";"7503"
"3501301";"Álvares Machado (SP)";"Total";"Não contribuintes";"Total";"3349"
"3501400";"Álvaro de Carvalho (SP)";"Total";"Total";"Total";"1423"
"3501400";"Álvaro de Carvalho (SP)";"Total";"Contribuintes";"Total";"1101"
"3501400";"Álvaro de Carvalho (SP)";"Total";"Não contribuintes";"Total";"322"
"3501509";"Alvinlândia (SP)";"Total";"Total";"Total";"1283"
"3501509";"Alvinlândia (SP)";"Total";"Contribuintes";"Total";"1008"
"3501509";"Alvinlândia (SP)";"Total";"Não contribuintes";"Total";"275"
"3501608";"Americana (SP)";"Total";"Total";"Total";"111429"
"3501608";"Americana (SP)";"Total";"Contribuintes";"Total";"86052"
"3501608";"Americana (SP)";"Total";"Não contribuintes";"Total";"25377"
"3501707";"Américo Brasiliense (SP)";"Total";"Total";"Total";"16137"
"3501707";"Américo Brasiliense (SP)";"Total";"Contribuintes";"Total";"13420"
"3501707";"Américo Brasiliense (SP)";"Total";"Não contribuintes";"Total";"2717"
"3501806";"Américo de Campos (SP)";"Total";"Total";"Total";"2686"
"3501806";"Américo de Campos (SP)";"Total";"Contribuintes";"Total";"1700"
"3501806";"Américo de Campos (SP)";"Total";"Não contribuintes";"Total";"986"
"3501905";"Amparo (SP)";"Total";"Total";"Total";"35096"
"3501905";"Amparo (SP)";"Total";"Contribuintes";"Total";"28249"
"3501905";"Amparo (SP)";"Total";"Não contribuintes";"Total";"6846"
"3502002";"Analândia (SP)";"Total";"Total";"Total";"2137"
"3502002";"Analândia (SP)";"Total";"Contribuintes";"Total";"1536"
"3502002";"Analândia (SP)";"Total";"Não contribuintes";"Total";"601"
"3502101";"Andradina (SP)";"Total";"Total";"Total";"25674"
"3502101";"Andradina (SP)";"Total";"Contribuintes";"Total";"18603"
"3502101";"Andradina (SP)";"Total";"Não contribuintes";"Total";"7071"
"3502200";"Angatuba (SP)";"Total";"Total";"Total";"9957"
"3502200";"Angatuba (SP)";"Total";"Contribuintes";"Total";"6961"
"3502200";"Angatuba (SP)";"Total";"Não contribuintes";"Total";"2995"
"3502309";"Anhembi (SP)";"Total";"Total";"Total";"2402"
"3502309";"Anhembi (SP)";"Total";"Contribuintes";"Total";"1518"
"3502309";"Anhembi (SP)";"Total";"Não contribuintes";"Total";"885"
"3502408";"Anhumas (SP)";"Total";"Total";"Total";"1673"
"3502408";"Anhumas (SP)";"Total";"Contribuintes";"Total";"1105"
"3502408";"Anhumas (SP)";"Total";"Não contribuintes";"Total";"568"
"3502507";"Aparecida (SP)";"Total";"Total";"Total";"17959"
"3502507";"Aparecida (SP)";"Total";"Contribuintes";"Total";"10621"
"3502507";"Aparecida (SP)";"Total";"Não contribuintes";"Total";"7338"
"3502606";"Aparecida d'Oeste (SP)";"Total";"Total";"Total";"1799"
"3502606";"Aparecida d'Oeste (SP)";"Total";"Contribuintes";"Total";"1023"
"3502606";"Aparecida d'Oeste (SP)";"Total";"Não contribuintes";"Total";"776"
"3502705";"Apiaí (SP)";"Total";"Total";"Total";"9386"
"3502705";"Apiaí (SP)";"Total";"Contribuintes";"Total";"5491"
"3502705";"Apiaí (SP)";"Total";"Não contribuintes";"Total";"3895"
"3502754";"Araçariguama (SP)";"Total";"Total";"Total";"7924"
"3502754";"Araçariguama (SP)";"Total";"Contribuintes";"Total";"5312"
"3502754";"Araçariguama (SP)";"Total";"Não contribuintes";"Total";"2612"
"3502804";"Araçatuba (SP)";"Total";"Total";"Total";"89414"
"3502804";"Araçatuba (SP)";"Total";"Contribuintes";"Total";"66475"
"3502804";"Araçatuba (SP)";"Total";"Não contribuintes";"Total";"22940"
"3502903";"Araçoiaba da Serra (SP)";"Total";"Total";"Total";"12421"
"3502903";"Araçoiaba da Serra (SP)";"Total";"Contribuintes";"Total";"7951"
"3502903";"Araçoiaba da Serra (SP)";"Total";"Não contribuintes";"Total";"4470"
"3503000";"Aramina (SP)";"Total";"Total";"Total";"2311"
"3503000";"Aramina (SP)";"Total";"Contribuintes";"Total";"1689"
"3503000";"Aramina (SP)";"Total";"Não contribuintes";"Total";"622"
"3503109";"Arandu (SP)";"Total";"Total";"Total";"2873"
"3503109";"Arandu (SP)";"Total";"Contribuintes";"Total";"2063"
"3503109";"Arandu (SP)";"Total";"Não contribuintes";"Total";"810"
"3503158";"Arapeí (SP)";"Total";"Total";"Total";"996"
"3503158";"Arapeí (SP)";"Total";"Contribuintes";"Total";"664"
"3503158";"Arapeí (SP)";"Total";"Não contribuintes";"Total";"332"
"3503208";"Araraquara (SP)";"Total";"Total";"Total";"105020"
"3503208";"Araraquara (SP)";"Total";"Contribuintes";"Total";"82130"
"3503208";"Araraquara (SP)";"Total";"Não contribuintes";"Total";"22889"
"3503307";"Araras (SP)";"Total";"Total";"Total";"57616"
"3503307";"Araras (SP)";"Total";"Contribuintes";"Total";"44745"
"3503307";"Araras (SP)";"Total";"Não contribuintes";"Total";"12870"
"3503356";"Arco-Íris (SP)";"Total";"Total";"Total";"878"
"3503356";"Arco-Íris (SP)";"Total";"Contribuintes";"Total";"547"
"3503356";"Arco-Íris (SP)";"Total";"Não contribuintes";"Total";"331"
"3503406";"Arealva (SP)";"Total";"Total";"Total";"3868"
"3503406";"Arealva (SP)";"Total";"Contribuintes";"Total";"2419"
"3503406";"Arealva (SP)";"Total";"Não contribuintes";"Total";"1449"
"3503505";"Areias (SP)";"Total";"Total";"Total";"1360"
"3503505";"Areias (SP)";"Total";"Contribuintes";"Total";"960"
"3503505";"Areias (SP)";"Total";"Não contribuintes";"Total";"399"
"3503604";"Areiópolis (SP)";"Total";"Total";"Total";"5029"
"3503604";"Areiópolis (SP)";"Total";"Contribuintes";"Total";"4340"
"3503604";"Areiópolis (SP)";"Total";"Não contribuintes";"Total";"690"
"3503703";"Ariranha (SP)";"Total";"Total";"Total";"4168"
"3503703";"Ariranha (SP)";"Total";"Contribuintes";"Total";"3290"
"3503703";"Ariranha (SP)";"Total";"Não contribuintes";"Total";"878"
"3503802";"Artur Nogueira (SP)";"Total";"Total";"Total";"22686"
"3503802";"Artur Nogueira (SP)";"Total";"Contribuintes";"Total";"17301"
"3503802";"Artur Nogueira (SP)";"Total";"Não contribuintes";"Total";"5385"
"3503901";"Arujá (SP)";"Total";"Total";"Total";"33160"
"3503901";"Arujá (SP)";"Total";"Contribuintes";"Total";"22648"
"3503901";"Arujá (SP)";"Total";"Não contribuintes";"Total";"10512"
"3503950";"Aspásia (SP)";"Total";"Total";"Total";"815"
"3503950";"Aspásia (SP)";"Total";"Contribuintes";"Total";"438"
"3503950";"Aspásia (SP)";"Total";"Não contribuintes";"Total";"377"
"3504008";"Assis (SP)";"Total";"Total";"Total";"45463"
"3504008";"Assis (SP)";"Total";"Contribuintes";"Total";"33383"
"3504008";"Assis (SP)";"Total";"Não contribuintes";"Total";"12081"
"3504107";"Atibaia (SP)";"Total";"Total";"Total";"61512"
"3504107";"Atibaia (SP)";"Total";"Contribuintes";"Total";"41358"
"3504107";"Atibaia (SP)";"Total";"Não contribuintes";"Total";"20153"
"3504206";"Auriflama (SP)";"Total";"Total";"Total";"7669"
"3504206";"Auriflama (SP)";"Total";"Contribuintes";"Total";"5080"
"3504206";"Auriflama (SP)";"Total";"Não contribuintes";"Total";"2588"
"3504305";"Avaí (SP)";"Total";"Total";"Total";"1930"
"3504305";"Avaí (SP)";"Total";"Contribuintes";"Total";"1312"
"3504305";"Avaí (SP)";"Total";"Não contribuintes";"Total";"619"
"3504404";"Avanhandava (SP)";"Total";"Total";"Total";"4206"
"3504404";"Avanhandava (SP)";"Total";"Contribuintes";"Total";"3244"
"3504404";"Avanhandava (SP)";"Total";"Não contribuintes";"Total";"962"
"3504503";"Avaré (SP)";"Total";"Total";"Total";"40057"
"3504503";"Avaré (SP)";"Total";"Contribuintes";"Total";"29741"
"3504503";"Avaré (SP)";"Total";"Não contribuintes";"Total";"10316"
"3504602";"Bady Bassitt (SP)";"Total";"Total";"Total";"7898"
"3504602";"Bady Bassitt (SP)";"Total";"Contribuintes";"Total";"5593"
"3504602";"Bady Bassitt (SP)";"Total";"Não contribuintes";"Total";"2305"
"3504701";"Balbinos (SP)";"Total";"Total";"Total";"1020"
"3504701";"Balbinos (SP)";"Total";"Contribuintes";"Total";"462"
"3504701";"Balbinos (SP)";"Total";"Não contribuintes";"Total";"557"
"3504800";"Bálsamo (SP)";"Total";"Total";"Total";"4269"
"3504800";"Bálsamo (SP)";"Total";"Contribuintes";"Total";"2740"
"3504800";"Bálsamo (SP)";"Total";"Não contribuintes";"Total";"1529"
"3504909";"Bananal (SP)";"Total";"Total";"Total";"4503"
"3504909";"Bananal (SP)";"Total";"Contribuintes";"Total";"2756"
"3504909";"Bananal (SP)";"Total";"Não contribuintes";"Total";"1747"
"3505005";"Barão de Antonina (SP)";"Total";"Total";"Total";"1400"
"3505005";"Barão de Antonina (SP)";"Total";"Contribuintes";"Total";"605"
"3505005";"Barão de Antonina (SP)";"Total";"Não contribuintes";"Total";"795"
"3505104";"Barbosa (SP)";"Total";"Total";"Total";"2674"
"3505104";"Barbosa (SP)";"Total";"Contribuintes";"Total";"1995"
"3505104";"Barbosa (SP)";"Total";"Não contribuintes";"Total";"678"
"3505203";"Bariri (SP)";"Total";"Total";"Total";"15616"
"3505203";"Bariri (SP)";"Total";"Contribuintes";"Total";"11638"
"3505203";"Bariri (SP)";"Total";"Não contribuintes";"Total";"3977"
"3505302";"Barra Bonita (SP)";"Total";"Total";"Total";"17959"
"3505302";"Barra Bonita (SP)";"Total";"Contribuintes";"Total";"13874"
"3505302";"Barra Bonita (SP)";"Total";"Não contribuintes";"Total";"4086"
"3505351";"Barra do Chapéu (SP)";"Total";"Total";"Total";"1728"
"3505351";"Barra do Chapéu (SP)";"Total";"Contribuintes";"Total";"735"
"3505351";"Barra do Chapéu (SP)";"Total";"Não contribuintes";"Total";"993"
"3505401";"Barra do Turvo (SP)";"Total";"Total";"Total";"2430"
"3505401";"Barra do Turvo (SP)";"Total";"Contribuintes";"Total";"1135"
"3505401";"Barra do Turvo (SP)";"Total";"Não contribuintes";"Total";"1295"
"3505500";"Barretos (SP)";"Total";"Total";"Total";"55602"
"3505500";"Barretos (SP)";"Total";"Contribuintes";"Total";"41130"
"3505500";"Barretos (SP)";"Total";"Não contribuintes";"Total";"14471"
"3505609";"Barrinha (SP)";"Total";"Total";"Total";"13310"
"3505609";"Barrinha (SP)";"Total";"Contribuintes";"Total";"9884"
"3505609";"Barrinha (SP)";"Total";"Não contribuintes";"Total";"3426"
"3505708";"Barueri (SP)";"Total";"Total";"Total";"112511"
"3505708";"Barueri (SP)";"Total";"Contribuintes";"Total";"86901"
"3505708";"Barueri (SP)";"Total";"Não contribuintes";"Total";"25610"
"3505807";"Bastos (SP)";"Total";"Total";"Total";"9699"
"3505807";"Bastos (SP)";"Total";"Contribuintes";"Total";"6905"
"3505807";"Bastos (SP)";"Total";"Não contribuintes";"Total";"2794"
"3505906";"Batatais (SP)";"Total";"Total";"Total";"27398"
"3505906";"Batatais (SP)";"Total";"Contribuintes";"Total";"20240"
"3505906";"Batatais (SP)";"Total";"Não contribuintes";"Total";"7157"
"3506003";"Bauru (SP)";"Total";"Total";"Total";"170961"
"3506003";"Bauru (SP)";"Total";"Contribuintes";"Total";"130226"
"3506003";"Bauru (SP)";"Total";"Não contribuintes";"Total";"40735"
"3506102";"Bebedouro (SP)";"Total";"Total";"Total";"37039"
"3506102";"Bebedouro (SP)";"Total";"Contribuintes";"Total";"26604"
"3506102";"Bebedouro (SP)";"Total";"Não contribuintes";"Total";"10436"
"3506201";"Bento de Abreu (SP)";"Total";"Total";"Total";"1213"
"3506201";"Bento de Abreu (SP)";"Total";"Contribuintes";"Total";"998"
"3506201";"Bento de Abreu (SP)";"Total";"Não contribuintes";"Total";"215"
"3506300";"Bernardino de Campos (SP)";"Total";"Total";"Total";"4988"
"3506300";"Bernardino de Campos (SP)";"Total";"Contribuintes";"Total";"3207"
"3506300";"Bernardino de Campos (SP)";"Total";"Não contribuintes";"Total";"1782"
"3506359";"Bertioga (SP)";"Total";"Total";"Total";"23082"
"3506359";"Bertioga (SP)";"Total";"Contribuintes";"Total";"13028"
"3506359";"Bertioga (SP)";"Total";"Não contribuintes";"Total";"10054"
"3506409";"Bilac (SP)";"Total";"Total";"Total";"3873"
"3506409";"Bilac (SP)";"Total";"Contribuintes";"Total";"2687"
"3506409";"Bilac (SP)";"Total";"Não contribuintes";"Total";"1186"
"3506508";"Birigui (SP)";"Total";"Total";"Total";"59182"
"3506508";"Birigui (SP)";"Total";"Contribuintes";"Total";"46128"
"3506508";"Birigui (SP)";"Total";"Não contribuintes";"Total";"13054"
"3506607";"Biritiba Mirim (SP)";"Total";"Total";"Total";"12560"
"3506607";"Biritiba Mirim (SP)";"Total";"Contribuintes";"Total";"7715"
"3506607";"Biritiba Mirim (SP)";"Total";"Não contribuintes";"Total";"4845"
"3506706";"Boa Esperança do Sul (SP)";"Total";"Total";"Total";"6418"
"3506706";"Boa Esperança do Sul (SP)";"Total";"Contribuintes";"Total";"4881"
"3506706";"Boa Esperança do Sul (SP)";"Total";"Não contribuintes";"Total";"1537"
"3506805";"Bocaina (SP)";"Total";"Total";"Total";"5936"
"3506805";"Bocaina (SP)";"Total";"Contribuintes";"Total";"4398"
"3506805";"Bocaina (SP)";"Total";"Não contribuintes";"Total";"1537"
"3506904";"Bofete (SP)";"Total";"Total";"Total";"4070"
"3506904";"Bofete (SP)";"Total";"Contribuintes";"Total";"2826"
"3506904";"Bofete (SP)";"Total";"Não contribuintes";"Total";"1244"
"3507001";"Boituva (SP)";"Total";"Total";"Total";"23628"
"3507001";"Boituva (SP)";"Total";"Contribuintes";"Total";"17380"
"3507001";"Boituva (SP)";"Total";"Não contribuintes";"Total";"6248"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"Total";"Total";"8694"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"Contribuintes";"Total";"5232"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"Não contribuintes";"Total";"3462"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"Total";"Total";"1334"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"Contribuintes";"Total";"719"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"Não contribuintes";"Total";"615"
"3507209";"Borá (SP)";"Total";"Total";"Total";"408"
"3507209";"Borá (SP)";"Total";"Contribuintes";"Total";"349"
"3507209";"Borá (SP)";"Total";"Não contribuintes";"Total";"58"
"3507308";"Boracéia (SP)";"Total";"Total";"Total";"2172"
"3507308";"Boracéia (SP)";"Total";"Contribuintes";"Total";"1864"
"3507308";"Boracéia (SP)";"Total";"Não contribuintes";"Total";"309"
"3507407";"Borborema (SP)";"Total";"Total";"Total";"7544"
"3507407";"Borborema (SP)";"Total";"Contribuintes";"Total";"5168"
"3507407";"Borborema (SP)";"Total";"Não contribuintes";"Total";"2375"
"3507456";"Borebi (SP)";"Total";"Total";"Total";"977"
"3507456";"Borebi (SP)";"Total";"Contribuintes";"Total";"753"
"3507456";"Borebi (SP)";"Total";"Não contribuintes";"Total";"224"
"3507506";"Botucatu (SP)";"Total";"Total";"Total";"59118"
"3507506";"Botucatu (SP)";"Total";"Contribuintes";"Total";"45482"
"3507506";"Botucatu (SP)";"Total";"Não contribuintes";"Total";"13636"
"3507605";"Bragança Paulista (SP)";"Total";"Total";"Total";"71054"
"3507605";"Bragança Paulista (SP)";"Total";"Contribuintes";"Total";"50249"
"3507605";"Bragança Paulista (SP)";"Total";"Não contribuintes";"Total";"20804"
"3507704";"Braúna (SP)";"Total";"Total";"Total";"2491"
"3507704";"Braúna (SP)";"Total";"Contribuintes";"Total";"1751"
"3507704";"Braúna (SP)";"Total";"Não contribuintes";"Total";"741"
"3507753";"Brejo Alegre (SP)";"Total";"Total";"Total";"1248"
"3507753";"Brejo Alegre (SP)";"Total";"Contribuintes";"Total";"921"
"3507753";"Brejo Alegre (SP)";"Total";"Não contribuintes";"Total";"327"
"3507803";"Brodowski (SP)";"Total";"Total";"Total";"11106"
"3507803";"Brodowski (SP)";"Total";"Contribuintes";"Total";"6434"
"3507803";"Brodowski (SP)";"Total";"Não contribuintes";"Total";"4672"
"3507902";"Brotas (SP)";"Total";"Total";"Total";"10637"
"3507902";"Brotas (SP)";"Total";"Contribuintes";"Total";"8000"
"3507902";"Brotas (SP)";"Total";"Não contribuintes";"Total";"2637"
"3508009";"Buri (SP)";"Total";"Total";"Total";"6845"
"3508009";"Buri (SP)";"Total";"Contribuintes";"Total";"3871"
"3508009";"Buri (SP)";"Total";"Não contribuintes";"Total";"2975"
"3508108";"Buritama (SP)";"Total";"Total";"Total";"7367"
"3508108";"Buritama (SP)";"Total";"Contribuintes";"Total";"4679"
"3508108";"Buritama (SP)";"Total";"Não contribuintes";"Total";"2688"
"3508207";"Buritizal (SP)";"Total";"Total";"Total";"1927"
"3508207";"Buritizal (SP)";"Total";"Contribuintes";"Total";"1308"
"3508207";"Buritizal (SP)";"Total";"Não contribuintes";"Total";"619"
"3508306";"Cabrália Paulista (SP)";"Total";"Total";"Total";"1975"
"3508306";"Cabrália Paulista (SP)";"Total";"Contribuintes";"Total";"1397"
"3508306";"Cabrália Paulista (SP)";"Total";"Não contribuintes";"Total";"578"
"3508405";"Cabreúva (SP)";"Total";"Total";"Total";"20237"
"3508405";"Cabreúva (SP)";"Total";"Contribuintes";"Total";"15324"
"3508405";"Cabreúva (SP)";"Total";"Não contribuintes";"Total";"4913"
"3508504";"Caçapava (SP)";"Total";"Total";"Total";"36709"
"3508504";"Caçapava (SP)";"Total";"Contribuintes";"Total";"28233"
"3508504";"Caçapava (SP)";"Total";"Não contribuintes";"Total";"8476"
"3508603";"Cachoeira Paulista (SP)";"Total";"Total";"Total";"12453"
"3508603";"Cachoeira Paulista (SP)";"Total";"Contribuintes";"Total";"9149"
"3508603";"Cachoeira Paulista (SP)";"Total";"Não contribuintes";"Total";"3304"
"3508702";"Caconde (SP)";"Total";"Total";"Total";"8325"
"3508702";"Caconde (SP)";"Total";"Contribuintes";"Total";"4560"
"3508702";"Caconde (SP)";"Total";"Não contribuintes";"Total";"3764"
"3508801";"Cafelândia (SP)";"Total";"Total";"Total";"7427"
"3508801";"Cafelândia (SP)";"Total";"Contribuintes";"Total";"5439"
"3508801";"Cafelândia (SP)";"Total";"Não contribuintes";"Total";"1988"
"3508900";"Caiabu (SP)";"Total";"Total";"Total";"1660"
"3508900";"Caiabu (SP)";"Total";"Contribuintes";"Total";"1349"
"3508900";"Caiabu (SP)";"Total";"Não contribuintes";"Total";"311"
"3509007";"Caieiras (SP)";"Total";"Total";"Total";"41790"
"3509007";"Caieiras (SP)";"Total";"Contribuintes";"Total";"30691"
"3509007";"Caieiras (SP)";"Total";"Não contribuintes";"Total";"11099"
"3509106";"Caiuá (SP)";"Total";"Total";"Total";"1708"
"3509106";"Caiuá (SP)";"Total";"Contribuintes";"Total";"1134"
"3509106";"Caiuá (SP)";"Total";"Não contribuintes";"Total";"573"
"3509205";"Cajamar (SP)";"Total";"Total";"Total";"27654"
"3509205";"Cajamar (SP)";"Total";"Contribuintes";"Total";"21807"
"3509205";"Cajamar (SP)";"Total";"Não contribuintes";"Total";"5848"
"3509254";"Cajati (SP)";"Total";"Total";"Total";"10190"
"3509254";"Cajati (SP)";"Total";"Contribuintes";"Total";"6840"
"3509254";"Cajati (SP)";"Total";"Não contribuintes";"Total";"3350"
"3509304";"Cajobi (SP)";"Total";"Total";"Total";"5003"
"3509304";"Cajobi (SP)";"Total";"Contribuintes";"Total";"3676"
"3509304";"Cajobi (SP)";"Total";"Não contribuintes";"Total";"1328"
"3509403";"Cajuru (SP)";"Total";"Total";"Total";"11058"
"3509403";"Cajuru (SP)";"Total";"Contribuintes";"Total";"7485"
"3509403";"Cajuru (SP)";"Total";"Não contribuintes";"Total";"3573"
"3509452";"Campina do Monte Alegre (SP)";"Total";"Total";"Total";"2178"
"3509452";"Campina do Monte Alegre (SP)";"Total";"Contribuintes";"Total";"1197"
"3509452";"Campina do Monte Alegre (SP)";"Total";"Não contribuintes";"Total";"982"
"3509502";"Campinas (SP)";"Total";"Total";"Total";"533797"
"3509502";"Campinas (SP)";"Total";"Contribuintes";"Total";"429750"
"3509502";"Campinas (SP)";"Total";"Não contribuintes";"Total";"104047"
"3509601";"Campo Limpo Paulista (SP)";"Total";"Total";"Total";"35217"
"3509601";"Campo Limpo Paulista (SP)";"Total";"Contribuintes";"Total";"26851"
"3509601";"Campo Limpo Paulista (SP)";"Total";"Não contribuintes";"Total";"8366"
"3509700";"Campos do Jordão (SP)";"Total";"Total";"Total";"24364"
"3509700";"Campos do Jordão (SP)";"Total";"Contribuintes";"Total";"16976"
"3509700";"Campos do Jordão (SP)";"Total";"Não contribuintes";"Total";"7388"
"3509809";"Campos Novos Paulista (SP)";"Total";"Total";"Total";"1817"
"3509809";"Campos Novos Paulista (SP)";"Total";"Contribuintes";"Total";"1053"
"3509809";"Campos Novos Paulista (SP)";"Total";"Não contribuintes";"Total";"763"
"3509908";"Cananéia (SP)";"Total";"Total";"Total";"4846"
"3509908";"Cananéia (SP)";"Total";"Contribuintes";"Total";"2848"
"3509908";"Cananéia (SP)";"Total";"Não contribuintes";"Total";"1999"
"3509957";"Canas (SP)";"Total";"Total";"Total";"1743"
"3509957";"Canas (SP)";"Total";"Contribuintes";"Total";"1087"
"3509957";"Canas (SP)";"Total";"Não contribuintes";"Total";"656"
"3510005";"Cândido Mota (SP)";"Total";"Total";"Total";"12646"
"3510005";"Cândido Mota (SP)";"Total";"Contribuintes";"Total";"9123"
"3510005";"Cândido Mota (SP)";"Total";"Não contribuintes";"Total";"3524"
"3510104";"Cândido Rodrigues (SP)";"Total";"Total";"Total";"1342"
"3510104";"Cândido Rodrigues (SP)";"Total";"Contribuintes";"Total";"895"
"3510104";"Cândido Rodrigues (SP)";"Total";"Não contribuintes";"Total";"446"
"3510153";"Canitar (SP)";"Total";"Total";"Total";"1789"
"3510153";"Canitar (SP)";"Total";"Contribuintes";"Total";"1434"
"3510153";"Canitar (SP)";"Total";"Não contribuintes";"Total";"355"
"3510203";"Capão Bonito (SP)";"Total";"Total";"Total";"18917"
"3510203";"Capão Bonito (SP)";"Total";"Contribuintes";"Total";"11578"
"3510203";"Capão Bonito (SP)";"Total";"Não contribuintes";"Total";"7339"
"3510302";"Capela do Alto (SP)";"Total";"Total";"Total";"8010"
"3510302";"Capela do Alto (SP)";"Total";"Contribuintes";"Total";"5027"
"3510302";"Capela do Alto (SP)";"Total";"Não contribuintes";"Total";"2984"
"3510401";"Capivari (SP)";"Total";"Total";"Total";"24095"
"3510401";"Capivari (SP)";"Total";"Contribuintes";"Total";"19350"
"3510401";"Capivari (SP)";"Total";"Não contribuintes";"Total";"4745"
"3510500";"Caraguatatuba (SP)";"Total";"Total";"Total";"45877"
