INTOXICAÇÃO EXÓGENA - Notificações registradas no Sinan Net - São Paulo
Notificações por Município de notificação e Agente Tóxico
Período:2020
"Município de notificação";"Ign/Branco";"Medicamento";"Agrotóxico agrícola";"Agrotóxico doméstico";"Agrotóxico saúde pública";"Raticida";"Prod. veterinário";"Prod. uso domiciliar";"Cosmético";"Prod. químico";"Metal";"Drogas de abuso";"Planta tóxica";"Alimento e bebida";"Outro";"Total"
"350320 Araraquara";-;5;-;-;-;-;-;5;-;-;-;-;-;-;-;10
"350330 Araras";-;11;1;-;-;1;-;-;-;-;-;-;-;1;-;14
"350370 Ariranha";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350380 Artur Nogueira";-;10;-;-;-;1;-;-;-;-;-;-;-;-;-;11
"350390 Arujá";2;29;-;1;-;1;-;1;-;1;-;1;-;-;-;36
"350400 Assis";1;38;1;-;-;1;-;1;1;-;-;-;-;-;4;47
"350410 Atibaia";16;21;-;1;-;-;1;2;1;2;-;1;-;1;-;46
"350420 Auriflama";4;3;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"350440 Avanhandava";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350450 Avaré";3;38;1;-;-;3;-;-;-;-;-;1;-;2;-;48
"350460 Bady Bassitt";4;5;-;-;-;-;-;-;-;-;-;-;-;-;1;10
"350480 Bálsamo";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350510 Barbosa";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350530 Barra Bonita";1;14;-;-;-;-;-;-;-;-;-;-;-;-;2;17
"350535 Barra do Chapéu";1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;3
"350540 Barra do Turvo";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350550 Barretos";1;15;2;1;-;5;-;2;-;-;-;-;-;-;-;26
"350560 Barrinha";4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350570 Barueri";19;68;-;1;-;5;-;11;-;1;-;10;-;3;1;119
"350580 Bastos";4;7;-;-;-;-;-;-;-;-;-;-;-;1;-;12
"350590 Batatais";2;40;8;2;-;2;-;14;1;2;-;-;-;-;2;73
"350600 Bauru";2;45;-;-;-;3;1;-;1;1;-;2;-;-;1;56
"350610 Bebedouro";1;40;3;-;-;1;-;4;-;1;-;2;-;-;-;52
"350630 Bernardino de Campos";3;10;1;-;-;-;-;-;-;-;-;-;-;-;-;14
"350635 Bertioga";-;3;-;1;-;-;-;-;-;-;-;-;-;-;1;5
"350640 Bilac";4;1;-;-;-;-;-;1;-;-;-;-;-;-;-;6
"350650 Birigui";10;38;1;-;-;-;-;2;-;-;-;-;-;-;1;52
"350660 Biritiba-Mirim";2;4;-;-;-;1;-;-;3;-;1;-;-;1;-;12
"350690 Bofete";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350710 Bom Jesus dos Perdões";-;4;-;-;-;-;-;-;-;-;-;1;-;-;1;6
"350740 Borborema";2;9;-;1;-;-;1;-;-;-;-;1;-;-;-;14
"350750 Botucatu";1;70;2;-;-;1;1;2;1;-;-;11;1;159;39;288
"350760 Bragança Paulista";-;39;1;-;-;2;4;-;-;1;-;4;-;-;3;54
"350770 Braúna";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350790 Brotas";3;3;-;-;-;-;-;-;-;1;-;-;-;1;-;8
"350800 Buri";1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;3
"350810 Buritama";1;10;1;-;-;1;-;-;-;-;-;-;-;-;-;13
"350840 Cabreúva";2;21;-;-;-;1;-;1;-;-;-;1;-;-;-;26
"350850 Caçapava";2;9;-;-;-;1;-;2;-;-;-;-;-;-;-;14
"350860 Cachoeira Paulista";-;13;-;-;-;-;-;-;-;-;-;2;-;-;1;16
"350870 Caconde";-;10;1;-;-;-;1;3;-;-;-;15;-;-;-;30
"350880 Cafelândia";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350900 Caieiras";1;7;-;-;-;1;-;2;-;-;-;-;-;-;-;11
"350920 Cajamar";4;19;-;-;-;2;-;-;-;-;-;-;-;1;2;28
"350925 Cajati";4;3;-;-;-;-;-;-;-;2;-;-;-;1;-;10
"350930 Cajobi";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350940 Cajuru";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350950 Campinas";35;97;-;1;-;3;-;15;3;2;2;17;-;1;4;180
"350960 Campo Limpo Paulista";5;7;-;-;-;1;-;2;-;-;-;4;-;11;-;30
"350970 Campos do Jordão";-;27;-;1;-;2;4;-;-;-;-;-;-;-;1;35
"350990 Cananéia";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351000 Cândido Mota";-;11;2;-;-;-;-;-;-;-;-;-;-;1;-;14
"351020 Capão Bonito";-;8;-;2;-;-;-;1;-;-;-;-;-;-;-;11
"351030 Capela do Alto";-;13;-;1;-;1;-;1;-;-;-;1;-;-;-;17
"351040 Capivari";-;12;-;-;-;-;-;2;-;-;-;-;-;1;-;15
"351050 Caraguatatuba";29;52;-;1;-;1;-;3;-;1;-;6;-;8;2;103
"351060 Carapicuíba";14;17;-;1;-;-;1;3;-;1;-;-;-;-;-;37
"351070 Cardoso";1;7;-;-;-;1;-;-;-;-;-;-;-;-;1;10
"351080 Casa Branca";3;7;1;-;-;-;-;2;-;-;-;8;-;20;1;42
"351100 Castilho";1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"351110 Catanduva";-;73;1;2;-;2;1;2;-;-;-;1;-;-;1;83
"351120 Catiguá";-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"351130 Cedral";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351150 Cerquilho";-;6;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"351170 Charqueada";1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355720 Chavantes";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351190 Clementina";2;3;1;-;-;-;-;-;-;1;-;-;-;-;-;7
"351220 Conchal";-;5;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"351230 Conchas";-;3;-;-;-;1;-;-;-;-;1;-;-;-;1;6
"351240 Cordeirópolis";1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;7
"351250 Coroados";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351260 Coronel Macedo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351280 Cosmópolis";-;26;-;1;-;2;-;1;-;-;-;-;-;-;1;31
"351300 Cotia";12;56;-;-;-;3;-;6;-;2;-;2;-;3;3;87
"351340 Cruzeiro";-;26;-;-;-;1;-;2;-;1;-;8;-;-;2;40
"351350 Cubatão";14;15;1;-;-;1;-;4;1;2;-;5;-;2;5;50
"351360 Cunha";-;3;-;-;-;1;-;-;-;-;-;1;-;1;-;6
"351370 Descalvado";2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"351380 Diadema";5;64;-;-;1;10;-;10;1;1;-;28;-;8;4;132
"351390 Divinolândia";-;1;-;-;-;-;-;-;-;-;-;-;-;3;-;4
"351430 Dourado";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351440 Dracena";-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"351450 Duartina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"351480 Eldorado";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"351490 Elias Fausto";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"351492 Elisiário";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351500 Embu das Artes";2;25;-;-;-;-;-;-;-;-;-;8;-;-;-;35
"351510 Embu-Guaçu";-;14;1;1;-;1;-;1;-;-;-;1;-;-;1;20
"351518 Espírito Santo do Pinhal";-;25;2;1;-;2;2;-;-;-;-;1;-;-;1;34
"355730 Estiva Gerbi";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351520 Estrela d'Oeste";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351535 Euclides da Cunha Paulista";1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;4
"351560 Fernando Prestes";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351550 Fernandópolis";5;27;2;-;-;-;2;3;-;1;-;-;-;1;1;42
"351570 Ferraz de Vasconcelos";-;2;-;-;-;1;-;-;-;-;-;-;-;-;1;4
"351600 Flórida Paulista";1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"351620 Franca";6;109;2;1;-;5;-;17;-;8;-;1;3;-;1;153
"351630 Francisco Morato";4;50;-;1;-;6;-;6;-;1;-;16;-;23;1;108
"351640 Franco da Rocha";2;42;-;-;-;3;-;1;-;2;-;-;-;-;2;52
"351670 Garça";3;26;1;1;-;3;-;2;-;1;-;-;-;-;-;37
"351685 Gavião Peixoto";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351690 General Salgado";2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351700 Getulina";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351740 Guaíra";3;20;3;-;-;2;-;-;-;-;-;-;-;-;-;28
"351750 Guapiaçu";1;8;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"351760 Guapiara";1;7;4;-;-;1;-;1;-;2;-;-;-;3;-;19
"351780 Guaraçaí";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"351790 Guaraci";-;5;-;-;-;-;-;2;-;-;-;-;-;-;-;7
"351800 Guarani d'Oeste";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351820 Guararapes";-;13;-;1;-;-;-;2;-;1;-;-;-;-;1;18
"351830 Guararema";2;12;-;-;-;-;-;-;-;-;-;2;-;-;-;16
"351840 Guaratinguetá";6;15;-;1;-;3;1;3;-;-;-;-;-;-;-;29
"351850 Guareí";1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351860 Guariba";-;9;-;1;-;-;-;1;-;-;-;1;-;1;-;13
"351870 Guarujá";2;11;-;1;-;2;-;4;-;-;-;-;-;-;-;20
"351880 Guarulhos";28;170;-;4;-;22;2;13;1;7;-;13;-;14;4;278
"351885 Guatapará";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351890 Guzolândia";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;3
"351905 Holambra";2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"351907 Hortolândia";1;17;1;-;-;-;1;1;-;-;-;1;-;5;1;28
"351910 Iacanga";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"351930 Ibaté";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351940 Ibirá";3;1;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"351960 Ibitinga";2;36;-;-;-;1;2;1;-;2;-;-;-;-;-;44
"351970 Ibiúna";1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;3
"351980 Icém";1;2;-;-;-;2;-;-;-;-;-;-;-;-;-;5
"351990 Iepê";-;3;-;-;-;-;-;-;1;-;-;1;-;-;-;5
"352000 Igaraçu do Tietê";-;7;-;-;-;-;-;1;-;-;-;-;-;-;-;8
"352010 Igarapava";3;10;-;-;-;1;-;-;-;-;-;-;-;-;-;14
"352020 Igaratá";-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352030 Iguape";2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352042 Ilha Comprida";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352044 Ilha Solteira";4;6;1;-;-;1;-;1;-;-;-;-;-;-;1;14
"352040 Ilhabela";1;15;-;-;-;-;-;1;-;-;-;9;1;3;-;30
"352050 Indaiatuba";5;25;1;-;-;1;-;2;-;-;-;-;-;-;-;34
"352070 Indiaporã";1;3;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352100 Iperó";3;10;-;1;-;1;-;-;1;-;-;-;-;-;-;16
"352110 Ipeúna";-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"352115 Ipiguá";-;4;-;-;-;-;-;2;-;-;-;-;-;1;-;7
"352130 Ipuã";-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"352140 Iracemápolis";1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352170 Itaberá";1;5;-;-;-;-;1;1;-;-;-;-;-;-;-;8
"352180 Itaí";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352190 Itajobi";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352210 Itanhaém";-;11;1;-;-;-;-;2;-;-;-;2;-;-;-;16
"352220 Itapecerica da Serra";7;16;-;1;-;-;-;-;-;2;-;1;-;-;-;27
"352230 Itapetininga";2;4;1;-;-;-;-;-;-;-;-;-;-;-;1;8
"352240 Itapeva";2;24;1;1;-;-;1;-;1;-;-;-;1;-;-;31
"352250 Itapevi";3;7;-;1;-;-;-;-;-;-;-;-;-;-;2;13
"352260 Itapira";7;21;-;1;-;1;-;3;1;-;-;2;-;-;1;37
"352265 Itapirapuã Paulista";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"352270 Itápolis";5;21;-;1;-;1;-;-;-;-;-;-;-;-;1;29
"352280 Itaporanga";4;5;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"352290 Itapuí";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2
"352310 Itaquaquecetuba";3;72;-;1;-;3;-;14;-;1;-;8;-;-;-;102
"352320 Itararé";-;12;1;-;-;2;-;-;-;-;-;-;-;-;-;15
"352330 Itariri";-;1;1;-;-;-;1;1;-;-;-;-;-;-;-;4
"352340 Itatiba";8;17;-;-;-;-;-;-;-;1;-;3;-;-;1;30
"352350 Itatinga";-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"352360 Itirapina";3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352370 Itirapuã";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352380 Itobi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352390 Itu";2;17;-;1;-;2;-;-;-;-;1;1;-;-;-;24
"352400 Itupeva";1;6;-;-;-;-;-;-;-;-;-;1;-;-;-;8
"352410 Ituverava";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352430 Jaboticabal";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"352440 Jacareí";3;71;-;1;-;6;-;9;-;2;-;3;2;8;2;107
"352450 Jaci";-;3;-;-;-;-;-;-;-;2;-;-;-;-;-;5
"352470 Jaguariúna";1;31;-;-;1;1;-;2;2;-;-;-;-;-;-;38
"352480 Jales";2;34;1;2;-;-;-;1;-;2;-;-;1;-;-;43
"352500 Jandira";9;2;-;-;-;1;-;1;-;-;-;-;-;-;-;13
"352510 Jardinópolis";2;6;1;-;-;1;-;-;-;-;-;4;-;-;-;14
"352520 Jarinu";2;6;1;-;-;-;-;2;-;-;-;-;-;-;1;12
"352530 Jaú";-;35;-;-;-;3;-;5;-;-;-;-;-;-;1;44
"352550 Joanópolis";1;6;-;-;-;-;-;1;-;2;-;-;-;-;-;10
"352570 José Bonifácio";-;22;3;1;-;2;-;-;1;-;-;-;-;-;-;29
"352590 Jundiaí";2;119;-;-;1;3;-;10;3;7;-;7;1;22;4;179
"352600 Junqueirópolis";4;12;3;1;-;-;-;2;-;-;-;-;-;-;-;22
"352620 Juquitiba";2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352630 Lagoinha";-;2;-;-;-;-;-;-;-;2;-;-;-;1;1;6
"352640 Laranjal Paulista";3;7;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"352680 Lençóis Paulista";2;26;-;-;-;1;-;-;-;1;-;-;-;-;2;32
"352690 Limeira";3;65;1;2;-;-;1;7;2;12;-;15;1;55;-;164
"352710 Lins";1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352720 Lorena";-;9;-;-;-;-;-;-;-;-;-;5;-;-;-;14
"352730 Louveira";3;12;-;-;-;1;-;1;-;-;-;-;-;-;-;17
"352740 Lucélia";1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352770 Luiziânia";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352800 Macatuba";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352810 Macaubal";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"352840 Mairinque";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"352850 Mairiporã";2;19;-;2;-;-;-;2;-;7;-;1;-;-;1;34
"352880 Maracaí";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352885 Marapoama";-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"352900 Marília";16;211;4;5;-;2;1;16;1;1;-;2;1;-;-;260
"352910 Marinópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352920 Martinópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352930 Matão";-;15;-;-;-;1;-;1;-;-;-;-;-;-;-;17
"352940 Mauá";4;42;1;-;-;2;-;2;1;1;-;4;-;1;2;60
"352950 Mendonça";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352980 Mineiros do Tietê";-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"353000 Mira Estrela";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352990 Miracatu";1;1;4;-;-;-;-;-;-;-;-;-;-;-;-;6
"353010 Mirandópolis";3;7;1;-;-;-;-;1;-;-;-;-;-;-;-;12
"353020 Mirante do Paranapanema";-;8;2;-;-;-;1;5;-;-;-;-;-;-;-;16
"353030 Mirassol";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353040 Mirassolândia";2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353050 Mococa";-;29;2;-;-;-;-;3;-;1;-;2;-;-;-;37
"353060 Mogi das Cruzes";1;54;2;-;-;7;2;11;1;1;-;23;-;2;4;108
"353070 Mogi Guaçu";-;4;-;-;-;2;1;-;-;-;-;-;-;-;-;7
"353080 Mogi Mirim";-;22;-;-;-;-;-;2;1;1;-;3;1;1;-;31
"353110 Mongaguá";5;9;-;-;-;-;-;1;-;-;-;-;-;-;1;16
"353140 Monte Aprazível";3;3;2;-;-;-;-;2;-;-;-;-;-;-;-;10
"353150 Monte Azul Paulista";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353180 Monte Mor";-;9;-;-;-;-;1;1;-;-;-;1;-;-;-;12
"353170 Monteiro Lobato";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353200 Morungaba";-;3;-;-;-;-;-;-;-;5;-;1;-;-;-;9
"353210 Murutinga do Sul";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"353220 Narandiba";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353240 Nazaré Paulista";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353250 Neves Paulista";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353260 Nhandeara";3;18;-;-;-;-;2;-;-;1;-;-;-;-;-;24
"353270 Nipoã";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353300 Nova Granada";-;7;1;-;-;-;-;-;-;-;-;1;-;1;-;10
"353320 Nova Independência";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"353340 Nova Odessa";1;5;-;-;-;1;-;-;-;-;-;-;-;1;-;8
"353350 Novo Horizonte";1;14;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"353390 Olímpia";5;24;-;-;-;1;-;2;-;1;-;-;-;-;-;33
"353400 Onda Verde";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353420 Orindiúva";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353440 Osasco";6;42;-;1;-;2;-;2;-;2;-;3;-;-;-;58
"353460 Osvaldo Cruz";-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"353470 Ourinhos";5;37;-;-;-;1;1;3;-;2;-;1;-;-;1;51
"353475 Ouroeste";2;1;-;-;1;-;-;1;-;-;-;-;-;-;1;6
"353500 Palestina";1;4;-;-;-;1;-;1;-;-;-;-;-;2;-;9
"353510 Palmares Paulista";-;6;2;-;-;-;-;-;-;-;-;-;-;-;1;9
"353520 Palmeira d'Oeste";-;3;1;-;-;-;1;-;-;1;-;-;-;-;-;6
"353550 Paraguaçu Paulista";-;29;1;2;-;-;-;2;-;1;-;-;-;-;-;35
"353570 Paraíso";-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"353600 Parapuã";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353610 Pardinho";-;2;-;-;-;-;-;-;-;-;-;-;-;2;-;4
"353620 Pariquera-Açu";4;11;3;-;-;-;-;-;-;-;-;-;-;-;-;18
"353625 Parisi";-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"353630 Patrocínio Paulista";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"353640 Paulicéia";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"353650 Paulínia";12;26;-;1;-;2;-;3;-;-;1;72;-;-;1;118
"353660 Paulo de Faria";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"353670 Pederneiras";2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353710 Pedreira";-;8;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"353720 Pedro de Toledo";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353730 Penápolis";15;19;-;-;-;-;-;1;-;-;-;-;-;-;1;36
"353740 Pereira Barreto";4;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"353750 Pereiras";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353760 Peruíbe";15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"353780 Piedade";5;8;3;1;-;-;-;-;-;-;-;-;-;-;-;17
"353800 Pindamonhangaba";-;39;1;-;-;2;-;7;-;-;-;14;-;81;1;145
"353810 Pindorama";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353820 Pinhalzinho";-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353880 Piraju";-;13;1;-;-;-;-;-;-;-;-;-;-;-;-;14
"353890 Pirajuí";1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"353900 Pirangi";1;10;-;-;-;1;-;-;-;-;-;-;-;-;-;12
"353910 Pirapora do Bom Jesus";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353920 Pirapozinho";1;3;-;-;-;-;-;1;-;1;-;-;-;-;-;6
"353930 Pirassununga";3;16;-;-;-;2;-;-;-;-;-;-;-;-;-;21
"353950 Pitangueiras";4;3;-;-;-;1;-;-;-;-;-;-;-;1;-;9
"353960 Planalto";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353980 Poá";15;11;-;1;-;2;-;3;-;-;-;-;-;-;-;32
"353990 Poloni";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354010 Pongaí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354025 Pontalinda";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354030 Pontes Gestal";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"354060 Porto Feliz";-;23;-;-;-;1;-;1;-;1;-;2;4;1;-;33
"354070 Porto Ferreira";4;33;-;-;-;3;-;4;1;3;-;32;-;7;1;88
"354075 Potim";-;2;-;-;-;-;-;-;-;-;-;-;-;9;-;11
"354080 Potirendaba";-;10;-;-;-;1;-;1;-;-;-;-;-;-;-;12
"354100 Praia Grande";1;36;-;2;-;3;-;1;-;2;1;1;-;1;-;48
"354105 Pratânia";-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"354130 Presidente Epitácio";1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"354140 Presidente Prudente";5;76;-;-;-;4;-;1;1;2;-;2;-;-;1;92
"354150 Presidente Venceslau";-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"354160 Promissão";8;10;-;-;-;1;-;-;-;1;-;-;-;-;1;21
"354190 Queluz";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354220 Rancharia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"354260 Registro";2;17;1;1;-;1;-;1;-;-;-;-;1;-;-;24
"354290 Ribeirão Bonito";2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354300 Ribeirão Branco";-;1;1;-;-;1;-;1;-;-;-;-;-;-;-;4
"354320 Ribeirão do Sul";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354325 Ribeirão Grande";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354330 Ribeirão Pires";2;16;-;-;-;1;-;2;-;-;-;1;-;1;1;24
"354340 Ribeirão Preto";3;59;-;-;-;1;1;4;-;3;-;7;-;-;3;81
"354370 Rincão";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354380 Rinópolis";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"354390 Rio Claro";4;52;-;1;-;5;2;4;-;5;-;-;-;1;3;77
